,,,,,,,28/07/2026,RELATÓRIO BAHIA ATUALIZADO,,,,28/07/2026,,EM VERDE DATA REPROGRAMADA,,28/07/2026,,,,,,,,
,,,EM VERMELHO CÓD. DA CARTELA NÃO LOCALIZADO,,,,28/07/2026 10:10:01,,,,DÚVIDA CLICA AQUI,https://encurtador.com.br/2bDAO,,SEMPRE VERIFICAR O FILTRO PRAZO,,,,,,,,,,
Coluna 1,cartela,CLIENTE,CÓD. FILIAL,PEDIDO,CÓD. CLIENTE,CÓD. MARFIM,DESCRIÇÃO,TAMANHO,ORD. COMPRA,QTD. ABERTA,LOTES,código OS,DT. RECEBIMENTO,DT. ENTREGA,PRAZO,POSIÇÃO NA PRODUÇÃO,DATA SISTEMA,Coluna 2,DATA ALTERADA,cartelas,CÓDIGO ALTERADO,Column 24,códigos do sistema,conta e ordem
2236,OK,DASS ITABERABA,70,141195,1365482,91133,ATAC. M22037 6MM REFLEX COR 5711,130CM,15971259,1145,135870,15966123ASB0053036,24/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,1365482,ASICS,NORMAL
2237,OK,DASS ITABERABA,70,141195,1365482,91133,ATAC. M22037 6MM REFLEX COR 5711,140CM,15971259,328,135870,15966123ASB0053036,24/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,1365482,ASICS,NORMAL
2238,OK,DASS ITABERABA,70,141195,1392977,94773,ATAC. M22037 6MM REFLEX COR 6127/1,130CM,15971259,779,135870,15966124ASB0053038,24/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,1392977,ASICS,NORMAL
2239,OK,DASS ITABERABA,70,141195,1392977,94773,ATAC. M22037 6MM REFLEX COR 6127/1,140CM,15971259,346,135870,15966124ASB0053038,24/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,1392977,ASICS,NORMAL
2240,OK,DASS ITABERABA,70,141195,1313035,87706,ATAC. 6AL 6MM POLIESTER COR 987,130CM,15971259,326,135870,15966164ASB0053047,24/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,1313035,ASICS,NORMAL
2241,OK,DASS ITABERABA,70,141195,1313035,87706,ATAC. 6AL 6MM POLIESTER COR 987,140CM,15971259,95,135870,15966164ASB0053047,24/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,1313035,ASICS,NORMAL
2242,OK,DASS ITABERABA,70,141195,980687,84269,ATAC. M12109 8MM POLIESTER COR 987,120CM,15971259,559,135870,15966147ASB0053050,24/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,980687,ASICS,NORMAL
2243,OK,DASS ITABERABA,70,141195,980687,84269,ATAC. M12109 8MM POLIESTER COR 987,130CM,15971259,457,135870,15966145ASB0053030,24/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,980687,ASICS,NORMAL
2244,OK,DASS ITABERABA,70,141195,1365268,90989,ATAC. M12109 8MM POLIESTER COR 4085,120CM,15971259,187,135870,15966146ASB0053049,24/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,1365268,ASICS,NORMAL
2245,OK,DASS ITABERABA,70,141195,1365268,90989,ATAC. M12109 8MM POLIESTER COR 4085,130CM,15971259,717,135870,15966144ASB0053028,24/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,1365268,ASICS,NORMAL
